№,Name,Author
143,Пнин,Владимир Набоков
144,В дурном обществе,Короленко Владимир
145,Палата №6,Антон Павлович Чехов
146,Степь,Антон Павлович Чехов
147,Скучная история,Антон Павлович Чехов
148,Дуэль,Антон Павлович Чехов
149,Рассказ неизвестного человека,Антон Павлович Чехов
150,Три года,Антон Павлович Чехов
151,Моя жизнь,Антон Павлович Чехов
152,Мужики,Антон Павлович Чехов
153,Маугли,Джозеф Редьярд Киплинг
154,Сорок пять,Александр Дюма
155,Подлинная жизнь Себастьяна Найта,Владимир Набоков
156,"За рекой, в тени деревьев",Эрнест Хэмингуэй
157,Титан,Теодор Драйзер
158,Молодые годы короля Генриха IV,Манн Генрих
159,Фиалки по средам,Андре Моруа
160,Эйфью,Курт Воннегут
161,Братец Лис и Братец Кролик,Джоэль Чендлер Харрис
162,Братец и сестрица,Владимир Даль
163,Гуттаперчевый мальчик,Григорович Дмитрий
164,Загадка старого леса,Буццати Дино
165,Дневник Трейси Бикер,Уилсон Жаклин
166,Каменный ангел,Марина Цветаева
167,Остров в море,Анника Тор
168,"Трое в лодке, не считая собаки",Джером К. Джером
169,Как Гитлер украл розового кролика,Джудит Керр
170,Лаура и ее оригинал,Владимир Набоков
171,"Пейзаж, нарисованный чаем",Милорад Павич
172,Станция на горизонте,Эрих Мария Ремарк
173,"Бойня номер пять. Дай вам Бог здоровья, мистер Розуотер",Курт Воннегут
